aX,aY,aZ,gX,gY,gZ
-0.642,0.406,-3.599,48.523,-103.149,-23.315
-0.733,0.484,-3.264,37.476,-158.325,-46.875
-0.782,0.565,-2.826,24.414,-212.585,-73.059
-0.898,0.445,-2.292,14.954,-264.221,-104.980
-1.017,0.102,-1.602,7.812,-311.218,-137.939
-1.122,-0.311,-0.922,1.465,-344.482,-160.522
-1.271,-0.769,-0.364,-7.141,-358.154,-169.983
-1.417,-1.258,0.264,-4.944,-367.615,-167.847
-1.588,-1.762,0.964,2.014,-374.207,-156.250
-1.688,-1.856,1.419,11.719,-358.704,-129.395
-1.723,-1.425,1.370,29.053,-321.350,-94.604
-1.790,-1.369,1.547,64.819,-310.913,-86.731
-1.698,-1.801,2.468,116.516,-360.168,-112.183
-1.190,-2.483,3.944,157.654,-426.514,-135.620
-0.399,-3.168,4.000,158.325,-455.322,-137.939
0.628,-3.564,4.000,132.080,-419.006,-111.328
1.468,-3.552,4.000,90.271,-322.876,-58.105
1.798,-3.286,4.000,13.428,-178.162,10.376
1.498,-2.816,4.000,-91.003,-16.235,86.426
0.783,-1.853,4.000,-164.246,98.999,163.391
0.127,-0.480,3.416,-186.951,156.677,216.919
-0.261,0.389,2.617,-186.157,188.782,204.468
-0.543,0.102,2.324,-172.852,190.369,122.681
-0.681,-0.766,2.467,-129.700,172.668,34.912
-0.902,-1.341,2.438,-79.712,176.514,-1.343
-1.093,-1.511,1.948,-70.435,206.848,2.869
-1.205,-1.594,1.390,-98.145,229.736,16.357
-1.248,-1.659,1.092,-142.761,226.135,29.602
-1.176,-1.411,0.878,-178.711,217.468,49.133
-1.012,-0.964,0.538,-194.336,219.971,64.880
-0.838,-0.594,0.187,-186.951,221.130,59.387
-0.648,-0.445,-0.092,-170.715,214.844,34.363
-0.519,-0.514,-0.262,-151.001,202.271,-0.122
-0.395,-0.637,-0.479,-130.615,194.336,-31.677
-0.234,-0.777,-0.903,-116.150,195.496,-55.115
-0.174,-1.056,-1.336,-114.197,193.604,-71.350
-0.059,-1.388,-1.601,-120.239,174.927,-77.026
0.050,-1.593,-1.635,-123.352,144.409,-69.214
0.208,-1.539,-1.567,-117.126,117.920,-49.988
0.350,-1.428,-1.321,-101.990,96.497,-37.231
0.481,-1.418,-1.168,-81.970,92.102,-36.316
0.552,-1.454,-1.284,-54.077,106.812,-39.978
0.553,-1.498,-1.584,-26.672,124.084,-39.978
0.543,-1.453,-1.862,-20.874,130.554,-31.616
0.518,-1.465,-2.130,-22.888,121.460,-21.240
0.530,-1.363,-2.281,-33.936,101.746,-6.653
0.558,-1.183,-2.310,-43.762,77.087,5.005
0.614,-1.071,-2.125,-44.189,46.753,7.080
0.626,-1.128,-1.861,-26.855,22.400,0.244
0.587,-1.224,-1.734,0.305,13.611,-4.944
0.522,-1.310,-1.689,25.269,9.583,-4.028
0.476,-1.372,-1.572,39.490,-1.343,2.563
0.493,-1.278,-1.380,43.396,-17.456,16.541
0.542,-1.018,-1.222,42.603,-31.494,33.447
0.609,-0.800,-1.041,36.560,-45.410,41.504
0.679,-0.636,-0.756,29.114,-62.073,42.664
0.756,-0.535,-0.387,23.682,-76.050,39.001
0.821,-0.499,-0.002,22.522,-82.825,31.128
0.861,-0.471,0.286,25.085,-78.613,23.132
0.879,-0.457,0.428,28.137,-64.087,15.686
0.891,-0.498,0.521,30.334,-48.706,8.362
0.888,-0.615,0.615,29.480,-36.194,2.625
0.903,-0.656,0.602,24.902,-20.081,3.113
0.895,-0.651,0.460,19.104,-1.709,7.507
0.886,-0.609,0.361,15.381,9.338,10.925
0.884,-0.547,0.328,13.306,14.832,12.634
0.883,-0.527,0.295,12.268,22.034,9.583
0.849,-0.538,0.193,14.893,31.494,3.845
0.823,-0.614,0.058,19.348,40.283,-3.418
0.779,-0.767,-0.072,23.926,44.983,-9.705
0.732,-0.895,-0.197,25.208,47.302,-10.681
0.692,-0.927,-0.300,23.132,46.692,-5.188
0.656,-0.895,-0.388,18.372,44.189,1.892
0.637,-0.818,-0.423,13.916,39.063,8.362
0.629,-0.741,-0.427,11.963,33.081,12.451
0.618,-0.677,-0.409,11.597,28.015,14.343
