aX,aY,aZ,gX,gY,gZ
-0.331,-0.052,-0.935,5.432,3.906,6.958
-0.336,-0.047,-0.961,3.662,3.967,5.188
-0.341,-0.050,-0.956,2.686,2.502,3.113
-0.345,-0.054,-0.942,2.441,0.854,1.343
-0.355,-0.065,-0.948,2.686,0.366,-0.488
-0.366,-0.088,-0.957,2.869,0.061,-2.197
-0.378,-0.115,-0.954,3.235,-1.343,-3.235
-0.385,-0.130,-0.937,3.967,-2.991,-3.784
-0.390,-0.135,-0.934,3.906,-3.113,-3.540
-0.396,-0.142,-0.953,3.540,-1.892,-3.174
-0.404,-0.146,-0.969,2.502,-1.526,-3.052
-0.411,-0.159,-0.968,-0.061,-2.258,-2.808
-0.419,-0.180,-0.960,-2.441,-2.930,-2.625
-0.423,-0.195,-0.949,-2.502,-3.296,-2.319
-0.422,-0.201,-0.940,-1.465,-3.845,-1.465
-0.422,-0.203,-0.938,0.610,-3.906,-0.366
-0.414,-0.199,-0.932,2.258,-4.456,0.671
-0.411,-0.195,-0.921,3.540,-5.005,1.465
-0.407,-0.187,-0.914,4.333,-4.456,2.319
-0.399,-0.169,-0.911,4.883,-3.601,3.601
-0.391,-0.160,-0.912,5.005,-2.747,4.211
-0.385,-0.155,-0.924,5.066,-2.014,4.272
-0.384,-0.152,-0.932,4.822,-1.770,4.761
-0.383,-0.153,-0.919,4.028,-2.197,5.127
-0.375,-0.143,-0.896,4.089,-2.563,5.554
-0.366,-0.124,-0.892,5.859,-1.404,5.981
-0.354,-0.099,-0.902,7.080,-0.366,6.042
-0.349,-0.087,-0.920,6.775,0.366,5.188
-0.353,-0.090,-0.928,5.859,0.183,3.845
-0.353,-0.101,-0.926,5.249,-0.183,2.563
-0.356,-0.102,-0.930,5.676,-0.183,2.075
-0.357,-0.099,-0.925,5.798,-0.122,2.014
-0.354,-0.095,-0.914,6.165,-0.305,1.465
-0.353,-0.089,-0.914,6.592,0.244,1.099
-0.351,-0.080,-0.932,6.592,1.587,0.488
-0.352,-0.075,-0.941,5.493,2.197,-0.549
-0.356,-0.090,-0.922,2.625,1.648,-1.831
